!---------------------------------------------------------------------
!	Œruba szeœciok¹tna
!
!	Sruba szesciokatna z gwintem pelnym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	233
AXIS	264
CBSCR	PN-EN_ISO_4017
INFO	Œruba szesciokatna

SYMBOL		STRING	DN	LG	B	P	
INSTANCE	STRING	DN	LG	B	P	

SM24x80		M24	24	80	77	3
SM24x90		M24	24	90	87	3
SM24x100	M24	24	100	97	3
SM24x110	M24	24	110	107	3
SM24x120	M24	24	120	117	3
SM24x130	M24	24	130	127	3
SM24x140	M24	24	140	137	3
SM24x150	M24	24	150	147	3
SM24x160	M24	24	160	157	3
SM24x180	M24	24	180	177	3
SM24x200	M24	24	200	197	3

SM27x25		M27	27	25	22	3
SM27x30		M27	27	30	27	3
SM27x35		M27	27	35	32	3
SM27x40		M27	27	40	37	3
SM27x45		M27	27	45	42	3
SM27x50		M27	27	50	47	3
SM27x55		M27	27	55	52	3
SM27x60		M27	27	60	57	3
SM27x65		M27	27	65	62	3
SM27x70		M27	27	70	67	3
SM27x80		M27	27	80	77	3
SM27x90		M27	27	90	87	3
SM27x100	M27	27	100	97	3
SM27x110	M27	27	110	107	3
SM27x120	M27	27	120	117	3
SM27x130	M27	27	130	127	3
SM27x140	M27	27	140	137	3
SM27x150	M27	27	150	147	3
SM27x160	M27	27	160	157	3
SM27x180	M27	27	180	177	3
SM27x200	M27	27	200	197	3
												
SM30x35		M30	30	35	31.5	3.5
SM30x40		M30	30	40	36.5	3.5
SM30x45		M30	30	45	41.5	3.5
SM30x50		M30	30	50	46.5	3.5
SM30x55		M30	30	55	51.5	3.5
SM30x60		M30	30	60	56.5	3.5
SM30x65		M30	30	65	61.5	3.5
SM30x70		M30	30	70	66.5	3.5
SM30x80		M30	30	80	66.5	3.5
SM30x90		M30	30	90	86.5	3.5
SM30x100	M30	30	100	96.5	3.5
SM30x110	M30	30	110	106.5	3.5
SM30x120	M30	30	120	116.5	3.5
SM30x130	M30	30	130	126.5	3.5
SM30x140	M30	30	140	136.5	3.5
SM30x150	M30	30	150	146.5	3.5
SM30x160	M30	30	160	156.5	3.5
SM30x180	M30	30	180	176.5	3.5
SM30x200	M30	30	200	196.5	3.5
												

